M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
16,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,512,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,64,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,8192,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,4096,8192,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
16,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
32,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
48,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
64,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
96,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
128,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
192,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
256,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
384,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
512,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
768,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
1024,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
2048,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
4096,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
8192,256,4096,FALSE,torch.bfloat16,torch.bfloat16,FALSE,FALSE
