M,N,K,q_dtype_w
8,7168,4224,torch.float8_e4m3fn
16,7168,4224,torch.float8_e4m3fn
32,7168,4224,torch.float8_e4m3fn
64,7168,4224,torch.float8_e4m3fn
128,7168,4224,torch.float8_e4m3fn
256,7168,4224,torch.float8_e4m3fn
512,7168,4224,torch.float8_e4m3fn
1024,7168,4224,torch.float8_e4m3fn
2048,7168,4224,torch.float8_e4m3fn
4096,7168,4224,torch.float8_e4m3fn
8192,7168,4224,torch.float8_e4m3fn
16384,7168,4224,torch.float8_e4m3fn
32768,7168,4224,torch.float8_e4m3fn
1,8448,7168,torch.float8_e4m3fn
2,8448,7168,torch.float8_e4m3fn
4,8448,7168,torch.float8_e4m3fn
8,8448,7168,torch.float8_e4m3fn
16,8448,7168,torch.float8_e4m3fn
32,8448,7168,torch.float8_e4m3fn
64,8448,7168,torch.float8_e4m3fn
128,8448,7168,torch.float8_e4m3fn
256,8448,7168,torch.float8_e4m3fn
512,8448,7168,torch.float8_e4m3fn
1024,8448,7168,torch.float8_e4m3fn
2048,8448,7168,torch.float8_e4m3fn
4096,8448,7168,torch.float8_e4m3fn
8192,8448,7168,torch.float8_e4m3fn
16384,8448,7168,torch.float8_e4m3fn
32768,8448,7168,torch.float8_e4m3fn
