gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1024,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,210.2935,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w2_gui_fp8,0.0%,132.3815,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_atomic_nt_sbm64,0.0%,342.675,0,0,0,423.01,5384.02
gfx950,256,2048,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,255.6701,flydsl_moe1_afp8_wfp8_bf16_t128x128x256_w3_gui_fp8,0.0%,188.5086,flydsl_moe2_layout_afp8_wfp8_bf16_t128x128x128_atomic_nt_sbm128,0.0%,444.1787,0,0,0,652.69,4196.16
gfx950,256,4096,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,422.9246,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w3_bnt0_gui_fp8,0.0%,286.3751,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_atomic_sbm64,0.0%,709.2997,0,0,0,817.45,2680.94
gfx950,256,8192,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,589.5816,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w3_bnt0_gui_fp8,0.0%,484.3284,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_atomic_sbm64,0.0%,1073.91,0,0,0,1079.83,1841.02
gfx950,256,16384,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,980.1062,flydsl_moe1_afp8_wfp8_bf16_t128x128x256_w2_bnt0_gui_fp8,0.0%,936.5075,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_atomic_sbm128,0.0%,1916.6137,0,0,0,1210.09,1110.34
gfx950,256,32768,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,1725.295,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w4_bnt0_gui_xcd4_fp8,0.0%,1826.8523,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_atomic_sbm128,0.0%,3552.1473,0,0,0,1305.85,684.11
gfx950,256,1,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,14.0698,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,8.262,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,22.3318,0,0,0,3.17,40886.36
gfx950,256,2,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,15.1644,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_bnt0_gui_kw2_fp8,0.0%,11.4485,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_reduce_sbm32,0.0%,26.6129,0,0,0,5.32,34309.84
gfx950,256,4,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,17.4796,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,14.4426,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,31.9222,0,0,0,7.79,25132.56
gfx950,256,8,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,31.1037,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w3_gui_fp8,0.0%,20.6107,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2,0.0%,51.7144,0,0,0,10.95,17658.43
gfx950,256,16,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,49.5114,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,32.0371,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2,0.0%,81.5485,0,0,0,13.89,11199.99
gfx950,256,32,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,75.1142,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,41.9527,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2,0.0%,117.0669,0,0,0,19.35,7804.4
gfx950,256,64,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,88.1325,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w2_gui_fp8,0.0%,53.1747,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_persist,0.0%,141.3072,0,0,0,32.06,6469.78
gfx950,256,128,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,104.1227,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,59.4508,flydsl_moe2_layout_afp8_wfp8_bf16_t32x256x128_atomic_nt_sbm32,0.0%,163.5735,0,0,0,55.39,5596.3
gfx950,256,256,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,104.3991,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_kw2_fp8,0.0%,60.2958,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,164.6949,0,0,0,110.02,5572.52
gfx950,256,512,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,106.9398,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,65.0023,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x128_atomic_nt_sbm32,0.0%,171.9421,0,0,0,210.76,5365.09
gfx950,256,1024,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,118.2582,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w2_gui_fp8,0.0%,76.9739,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_atomic_nt_sbm64,0.0%,195.2321,0,0,0,371.24,4773.41
gfx950,256,2048,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,141.3501,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_gui_fp8,0.0%,122.3555,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_persist_sbm128,0.0%,263.7056,0,0,0,549.69,3605.52
gfx950,256,4096,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,218.8674,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w4_bnt0_gui_xcd4_fp8,0.0%,201.0466,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_reduce,0.0%,419.914,0,0,0,690.4,2354.16
gfx950,256,8192,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,318.9796,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_bnt0_gui_xcd4_fp8,0.0%,374.5186,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_reduce_bnt2_persist_sbm128,0.0%,693.4982,0,0,0,836.08,1534.31
gfx950,256,16384,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,507.7831,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w3_bnt0_gui_xcd4_fp8,0.0%,725.8633,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_reduce_sbm128,0.0%,1233.6464,0,0,0,940.01,984.92
gfx950,256,32768,6144,384,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,884.4995,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_w2_bnt0_gui_xcd4_fp8,0.0%,1347.9108,flydsl_moe2_layout_afp8_wfp8_bf16_t64x128x128_reduce_sbm128,0.0%,2232.4103,0,0,0,1038.91,679.55
