gfx,cu_num,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,8192,8,128,16,64,248.9
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,8192,1,128,128,32,308.4
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,False,False,8192,1,128,128,32,317.4
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,8192,8,128,16,64,466.3
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,True,False,16384,1,256,256,16,469.8
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,16384,16,256,16,64,470.6
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,8192,1,128,128,64,471.1
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,16384,1,256,256,16,472.5
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,16384,1,256,256,16,475.0
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,16384,1,256,256,16,478.8
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,8192,1,128,128,64,481.5
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,8192,2,128,64,64,486.4
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,16384,4,256,64,64,496.7
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,8192,8,128,16,64,497.5
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,8192,4,128,32,64,500.5
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,16384,8,256,32,64,500.6
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,8192,1,128,128,64,512.6
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,8192,1,128,128,64,515.9
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,8192,2,128,64,64,524.8
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,8192,4,128,32,64,535.5
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,16384,1,256,256,32,714.6
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,False,False,16384,1,256,256,32,745.3
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,32768,32,512,16,64,873.0
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,16,256,16,64,875.0
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,8,256,32,64,884.2
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,32768,16,512,32,64,886.9
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,16384,1,256,256,64,928.8
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,16384,16,256,16,64,931.0
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,32768,1,512,512,16,939.0
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,32768,1,512,512,16,944.4
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,16384,8,256,32,64,946.1
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,2,256,128,64,954.0
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,16384,4,256,64,64,964.8
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,32768,8,512,64,64,969.0
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,16384,1,256,256,64,1008.4
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,16384,2,256,128,64,1016.7
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,16384,4,256,64,64,1040.9
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,True,False,32768,1,512,512,16,1090.7
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,32768,1,512,512,16,1200.0
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,32768,1,512,512,32,1405.4
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,False,False,32768,1,512,512,32,1477.8
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,16,512,32,64,1651.8
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,65536,32,1024,32,64,1656.2
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,8,512,64,64,1700.4
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,65536,16,1024,64,64,1726.8
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,32,512,16,64,1741.3
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,65536,64,1024,16,64,1741.9
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,32768,16,512,32,64,1767.6
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,32768,8,512,64,64,1830.8
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,32768,1,512,512,64,1846.7
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,32768,32,512,16,64,1858.1
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,32768,4,512,128,64,1897.3
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,32768,1,512,512,64,2010.9
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,32768,4,512,128,64,2027.1
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,True,False,65536,1,1024,1024,16,2195.2
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,True,False,65536,1,1024,1024,16,2256.2
gfx942,80,torch.bfloat16,128,128,64,4,2,False,True,False,False,False,65536,1,1024,1024,16,2271.4
gfx942,80,torch.bfloat16,128,128,64,8,4,False,True,False,False,False,65536,1,1024,1024,16,2408.1
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,True,False,65536,1,1024,1024,32,2889.0
gfx942,80,torch.bfloat16,128,128,64,16,8,False,True,False,False,False,65536,1,1024,1024,32,2991.0
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,65536,16,1024,64,64,3217.6
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,65536,32,1024,32,64,3309.7
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,65536,8,1024,128,64,3385.3
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,65536,16,1024,64,64,3441.1
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,True,False,65536,64,1024,16,64,3486.6
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,65536,32,1024,32,64,3531.2
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,65536,8,1024,128,64,3614.8
gfx942,80,torch.bfloat16,128,128,64,32,16,True,True,True,False,False,65536,64,1024,16,64,3707.5
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,True,False,65536,1,1024,1024,64,3732.3
gfx942,80,torch.bfloat16,128,128,64,32,16,False,True,False,False,False,65536,1,1024,1024,64,4004.5
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,8192,4,128,32,64,161.1
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,8192,4,128,32,32,161.9
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,16384,16,256,16,32,164.3
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,16384,4,256,64,32,164.5
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,16384,16,256,16,32,165.8
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,8192,8,128,16,32,166.4
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,8192,4,128,32,32,166.5
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,8192,2,128,64,16,167.3
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,8192,2,128,64,32,167.5
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,16384,8,256,32,32,167.7
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,8192,8,128,16,16,167.8
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,8192,2,128,64,32,167.8
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,8192,4,128,32,64,167.8
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,8192,8,128,16,64,168.0
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,16384,8,256,32,64,168.1
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,8192,2,128,64,32,168.8
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,16384,4,256,64,32,169.0
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,8192,8,128,16,32,171.5
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,16384,4,256,64,64,231.6
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,32768,8,512,64,64,233.2
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,32768,8,512,64,64,235.3
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,8192,1,128,128,16,235.8
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,32768,16,512,32,64,236.4
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,16384,8,256,32,64,237.2
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,16384,2,256,128,16,238.0
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,8192,1,128,128,16,239.8
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,32768,16,512,32,64,242.2
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,8192,1,128,128,16,243.6
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,16384,2,256,128,16,245.1
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,16384,4,256,64,64,245.8
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,8192,2,128,64,64,246.4
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,32768,32,512,16,64,247.6
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,16384,16,256,16,64,248.8
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,16384,8,256,32,64,251.4
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,8192,4,128,32,64,251.6
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,32768,32,512,16,64,253.0
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,8192,1,128,128,16,254.8
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,16384,16,256,16,64,262.3
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,8192,8,128,16,64,263.0
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,32768,4,512,128,32,299.5
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,8192,1,128,128,32,303.7
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,32768,4,512,128,32,303.8
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,16384,2,256,128,32,303.9
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,16384,2,256,128,32,307.4
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,8192,1,128,128,32,307.8
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,65536,64,1024,16,64,468.0
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,32768,32,512,16,64,468.3
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,32768,4,512,128,64,480.6
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,65536,8,1024,128,64,482.3
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,16384,2,256,128,64,484.3
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,65536,16,1024,64,64,489.4
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,65536,64,1024,16,64,492.9
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,32768,8,512,64,64,494.3
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,True,False,65536,32,1024,32,64,497.4
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,32768,16,512,32,64,499.2
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,16384,16,256,16,64,499.7
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,32768,32,512,16,64,504.4
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,65536,8,1024,128,64,509.2
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,65536,16,1024,64,64,514.1
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,32768,4,512,128,64,516.2
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,16384,2,256,128,64,516.4
gfx942,80,torch.bfloat16,128,128,64,4,2,True,True,True,False,False,65536,32,1024,32,64,522.7
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,32768,8,512,64,64,524.2
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,16384,4,256,64,64,524.4
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,16384,8,256,32,64,533.2
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,32768,16,512,32,64,536.5
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,65536,64,1024,16,64,875.3
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,65536,32,1024,32,64,886.3
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,32768,32,512,16,64,932.7
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,65536,64,1024,16,64,938.0
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,32768,16,512,32,64,945.3
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,32768,4,512,128,64,955.1
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,65536,32,1024,32,64,958.2
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,65536,8,1024,128,64,961.0
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,True,False,65536,16,1024,64,64,974.9
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,32768,4,512,128,64,1025.8
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,65536,8,1024,128,64,1032.2
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,32768,8,512,64,64,1034.3
gfx942,80,torch.bfloat16,128,128,64,8,4,True,True,True,False,False,65536,16,1024,64,64,1041.6
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,65536,32,1024,32,64,1765.3
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,65536,16,1024,64,64,1837.6
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,65536,64,1024,16,64,1847.9
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,True,False,65536,8,1024,128,64,1922.7
gfx942,80,torch.bfloat16,128,128,64,16,8,True,True,True,False,False,65536,8,1024,128,64,2047.3
