M,N,K,q_dtype_w
256,2048,2048,torch.float8_e4m3fnuz
256,2624,6144,torch.float8_e4m3fnuz
256,3072,6144,torch.float8_e4m3fnuz
256,4096,2048,torch.float8_e4m3fnuz
256,6144,1536,torch.float8_e4m3fnuz
256,6144,2048,torch.float8_e4m3fnuz
384,2048,2048,torch.float8_e4m3fnuz
384,2624,6144,torch.float8_e4m3fnuz
384,3072,6144,torch.float8_e4m3fnuz
384,4096,2048,torch.float8_e4m3fnuz
384,6144,1536,torch.float8_e4m3fnuz
384,6144,2048,torch.float8_e4m3fnuz
512,2048,2048,torch.float8_e4m3fnuz
512,2624,6144,torch.float8_e4m3fnuz
512,3072,6144,torch.float8_e4m3fnuz
512,4096,2048,torch.float8_e4m3fnuz
512,6144,1536,torch.float8_e4m3fnuz
512,6144,2048,torch.float8_e4m3fnuz
768,2048,2048,torch.float8_e4m3fnuz
768,2624,6144,torch.float8_e4m3fnuz
768,3072,6144,torch.float8_e4m3fnuz
768,4096,2048,torch.float8_e4m3fnuz
768,6144,1536,torch.float8_e4m3fnuz
768,6144,2048,torch.float8_e4m3fnuz
1024,2048,2048,torch.float8_e4m3fnuz
1024,2624,6144,torch.float8_e4m3fnuz
1024,3072,6144,torch.float8_e4m3fnuz
1024,4096,2048,torch.float8_e4m3fnuz
1024,6144,1536,torch.float8_e4m3fnuz
1024,6144,2048,torch.float8_e4m3fnuz
1536,2048,2048,torch.float8_e4m3fnuz
1536,2624,6144,torch.float8_e4m3fnuz
1536,3072,6144,torch.float8_e4m3fnuz
1536,4096,2048,torch.float8_e4m3fnuz
1536,6144,1536,torch.float8_e4m3fnuz
1536,6144,2048,torch.float8_e4m3fnuz
2048,2048,2048,torch.float8_e4m3fnuz
2048,2624,6144,torch.float8_e4m3fnuz
2048,3072,6144,torch.float8_e4m3fnuz
2048,4096,2048,torch.float8_e4m3fnuz
2048,6144,1536,torch.float8_e4m3fnuz
2048,6144,2048,torch.float8_e4m3fnuz
3072,2048,2048,torch.float8_e4m3fnuz
3072,2624,6144,torch.float8_e4m3fnuz
3072,3072,6144,torch.float8_e4m3fnuz
3072,4096,2048,torch.float8_e4m3fnuz
3072,6144,1536,torch.float8_e4m3fnuz
3072,6144,2048,torch.float8_e4m3fnuz
4096,2048,2048,torch.float8_e4m3fnuz
4096,2624,6144,torch.float8_e4m3fnuz
4096,3072,6144,torch.float8_e4m3fnuz
4096,4096,2048,torch.float8_e4m3fnuz
4096,6144,1536,torch.float8_e4m3fnuz
4096,6144,2048,torch.float8_e4m3fnuz
8192,2048,2048,torch.float8_e4m3fnuz
8192,2624,6144,torch.float8_e4m3fnuz
8192,3072,6144,torch.float8_e4m3fnuz
8192,4096,2048,torch.float8_e4m3fnuz
8192,6144,1536,torch.float8_e4m3fnuz
8192,6144,2048,torch.float8_e4m3fnuz
16384,2048,2048,torch.float8_e4m3fnuz
16384,2624,6144,torch.float8_e4m3fnuz
16384,3072,6144,torch.float8_e4m3fnuz
16384,4096,2048,torch.float8_e4m3fnuz
16384,6144,1536,torch.float8_e4m3fnuz
16384,6144,2048,torch.float8_e4m3fnuz
32768,2048,2048,torch.float8_e4m3fnuz
32768,2624,6144,torch.float8_e4m3fnuz
32768,3072,6144,torch.float8_e4m3fnuz
32768,4096,2048,torch.float8_e4m3fnuz
32768,6144,1536,torch.float8_e4m3fnuz
32768,6144,2048,torch.float8_e4m3fnuz
